Customer_ID,Customer_Name,Market,Recommendation1,Recommendation2,Recommendation3,Recommendation4,Recommendation5
AA-10480,Andrew Allen,LATAM,"SanDisk Router, Bluetooth","Stockwell Paper Clips, Bulk Pack","Accos Paper Clips, Metal","Stockwell Clamps, Assorted Sizes","Samsung Speaker Phone, Full Size"
AA-10480,Andrew Allen,US,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,Revere Boxed Rubber Bands by Revere,"Global Value Steno Chair, Gray","Bevis Oval Conference Table, Walnut",Xerox 1959
AA-10645,Anna Andreadi,APAC,"SAFCO Steel Folding Chair, Red","Kraft Clasp Envelope, with clear poly window","Eaton Memo Slips, Multicolor","Tenex Box, Industrial","Eldon Lockers, Blue"
AA-10645,Anna Andreadi,EU,"BIC Canvas, Water Color","Canon Personal Copier, High-Speed","Rogers Trays, Industrial","Ibico Hole Reinforcements, Durable","Wilson Jones Index Tab, Recycled"
AA-10645,Anna Andreadi,LATAM,"Binney & Smith Sketch Pad, Water Color","Stockwell Clamps, Assorted Sizes","Stockwell Paper Clips, Bulk Pack","Accos Paper Clips, Metal","Cardinal Binder, Recycled"
AA-10645,Anna Andreadi,US,Fellowes PB200 Plastic Comb Binding Machine,Revere Boxed Rubber Bands by Revere,Mophie Juice Pack Helium for iPhone,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White",Hon Non-Folding Utility Tables
AA-315,Alex Avila,Africa,"Tenex Stacking Tray, Erganomic","Deflect-O Stacking Tray, Durable","Cardinal Binder, Recycled","Canon Fax Machine, High-Speed","Nokia Speaker Phone, Cordless"
AA-315,Alex Avila,EMEA,"Rogers Trays, Wire Frame","Acco Binder Covers, Clear","Stiletto Trimmer, Steel","Avery Hole Reinforcements, Recycled","Stanley Sketch Pad, Easy-Erase"
AA-375,Allen Armold,Africa,"Stiletto Ruler, Easy Grip","Eaton Computer Printout Paper, 8.5 x 11","Stanley Pencil Sharpener, Water Color","Ibico Binding Machine, Recycled","GlobeWeis Clasp Envelope, Recycled"
AA-375,Allen Armold,Canada,"Harbour Creations Legal Exhibit Labels, 5000 Label Set","Avery Legal Exhibit Labels, 5000 Label Set","Binney & Smith Pencil Sharpener, Easy-Erase","Cardinal Binder Covers, Recycled","Sanford Canvas, Fluorescent"
AA-375,Allen Armold,EMEA,"Rogers Trays, Wire Frame","Acco Binder Covers, Clear","Stanley Sketch Pad, Easy-Erase","SanDisk Keyboard, Programmable","Motorola Smart Phone, Cordless"
AA-480,Andrew Allen,Africa,"Fellowes File Cart, Wire Frame","Ibico Binder, Recycled","Stanley Markers, Water Color","Hamilton Beach Stove, Silver","Boston Markers, Easy-Erase"
AA-480,Andrew Allen,Canada,"Stockwell Staples, Metal","Belkin Mouse, Bluetooth","Safco Classic Bookcase, Pine","Harbour Creations Legal Exhibit Labels, 5000 Label Set","Avery Legal Exhibit Labels, 5000 Label Set"
AA-480,Andrew Allen,EMEA,"Rogers Trays, Wire Frame","SAFCO Executive Leather Armchair, Adjustable","Acco Binder Covers, Clear","Stanley Sketch Pad, Easy-Erase","Hamilton Beach Blender, White"
AA-645,Anna Andreadi,Africa,"SanDisk Memo Slips, 8.5 x 11","Stiletto Ruler, Easy Grip","Eaton Computer Printout Paper, 8.5 x 11","Boston Canvas, Fluorescent","Boston Markers, Easy-Erase"
AA-645,Anna Andreadi,EMEA,"Sanford Pens, Fluorescent","Cuisinart Stove, Silver","Hoover Toaster, Red","Belkin Keyboard, Erganomic","Acco Hole Reinforcements, Economy"
AB-10015,Aaron Bergman,APAC,"SAFCO Steel Folding Chair, Red","Tenex Box, Industrial","Eldon Lockers, Blue","Kraft Business Envelopes, Set of 50","SanDisk Memory Card, USB"
AB-10015,Aaron Bergman,EU,"Cisco Headset, Full Size","Wilson Jones Index Tab, Recycled","Canon Personal Copier, High-Speed","Stanley Pencil Sharpener, Fluorescent","Acco 3-Hole Punch, Durable"
AB-10015,Aaron Bergman,LATAM,"Accos Paper Clips, Metal","Deflect-O Light Bulb, Black","Stockwell Paper Clips, Bulk Pack","Stockwell Clamps, Assorted Sizes","Cardinal Binder, Recycled"
AB-10015,Aaron Bergman,US,Revere Boxed Rubber Bands by Revere,GBC Recycled VeloBinder Covers,Xerox 1959,White Computer Printout Paper by Universal,"Bevis Oval Conference Table, Walnut"
AB-10060,Adam Bellavance,APAC,"SAFCO Steel Folding Chair, Red","Eldon Lockers, Blue","Harbour Creations Shipping Labels, Laser Printer Compatible","Tenex Box, Industrial","Harbour Creations Chairmat, Red"
AB-10060,Adam Bellavance,EU,"Canon Personal Copier, High-Speed","Kleencut Shears, Easy Grip","Avery Binder, Economy","Kraft Mailers, with clear poly window","Motorola Signal Booster, Cordless"
AB-10060,Adam Bellavance,LATAM,"Stockwell Paper Clips, Bulk Pack","Stockwell Clamps, Assorted Sizes","Accos Paper Clips, Metal","Deflect-O Light Bulb, Black","Cardinal Binder, Recycled"
AB-10060,Adam Bellavance,US,Fellowes PB200 Plastic Comb Binding Machine,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White",Mophie Juice Pack Helium for iPhone,Hon Non-Folding Utility Tables,GBC Recycled VeloBinder Covers
AB-10105,Adrian Barton,APAC,"SAFCO Steel Folding Chair, Red","Eldon Lockers, Blue","Kraft Business Envelopes, Set of 50","SanDisk Mouse, Programmable","GlobeWeis Interoffice Envelope, Security-Tint"
AB-10105,Adrian Barton,EU,"Canon Personal Copier, High-Speed","Avery Index Tab, Clear","Tenex Lockers, Industrial","Motorola Audio Dock, VoIP","Stanley Pencil Sharpener, Fluorescent"
AB-10105,Adrian Barton,LATAM,"Stockwell Paper Clips, Bulk Pack","Deflect-O Light Bulb, Black","Accos Paper Clips, Metal","Stockwell Clamps, Assorted Sizes","Cisco Smart Phone, Full Size"
AB-10105,Adrian Barton,US,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,Revere Boxed Rubber Bands by Revere,"Global Value Steno Chair, Gray",Kensington Orbit Wireless Mobile Trackball for PC and Mac,GBC Recycled VeloBinder Covers
AB-10150,Aimee Bixby,APAC,"Harbour Creations Rocking Chair, Set of Two","Ikea Library with Doors, Traditional","BIC Markers, Blue","Avery 3-Hole Punch, Recycled","Canon Ink, Laser"
AB-10150,Aimee Bixby,EU,"Motorola Audio Dock, VoIP","Canon Personal Copier, High-Speed","Stanley Pencil Sharpener, Fluorescent","Ibico Hole Reinforcements, Durable","Logitech Keyboard, Programmable"
AB-10150,Aimee Bixby,LATAM,"Smead File Cart, Single Width","Accos Paper Clips, Metal","Deflect-O Light Bulb, Black","Stockwell Paper Clips, Bulk Pack","Stockwell Clamps, Assorted Sizes"
AB-10150,Aimee Bixby,US,Revere Boxed Rubber Bands by Revere,"Bevis Oval Conference Table, Walnut",GBC Recycled VeloBinder Covers,Xerox 1959,White Computer Printout Paper by Universal
AB-10165,Alan Barnes,APAC,"Harbour Creations Rocking Chair, Set of Two","Wilson Jones Binder Covers, Recycled","Enermax Mouse, Bluetooth","Avery 3-Hole Punch, Recycled","Wilson Jones Binder, Durable"
AB-10165,Alan Barnes,EU,"Stanley Pencil Sharpener, Fluorescent","Canon Personal Copier, High-Speed","Acco 3-Hole Punch, Durable","Ibico Index Tab, Clear","Ibico Hole Reinforcements, Durable"
AB-10165,Alan Barnes,LATAM,"Elite Shears, High Speed","Ames Peel and Seal, Security-Tint","Stockwell Clamps, Assorted Sizes","Boston Sketch Pad, Blue","Cardinal Binder, Recycled"
AB-10165,Alan Barnes,US,Fellowes PB200 Plastic Comb Binding Machine,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White",Mophie Juice Pack Helium for iPhone,Hon Non-Folding Utility Tables,GBC Recycled VeloBinder Covers
AB-10255,Alejandro Ballentine,APAC,"Nokia Office Telephone, with Caller ID","Fiskars Trimmer, Serrated","SAFCO Steel Folding Chair, Red","Ikea 3-Shelf Cabinet, Mobile","Ibico Binder Covers, Recycled"
AB-10255,Alejandro Ballentine,EU,"Eldon File Cart, Industrial","Ibico Hole Reinforcements, Durable","Tenex Lockers, Industrial","Boston Canvas, Fluorescent","Novimex Executive Leather Armchair, Red"
AB-10255,Alejandro Ballentine,LATAM,"Cisco Smart Phone, Full Size","SanDisk Router, Bluetooth","Deflect-O Light Bulb, Black","Accos Paper Clips, Metal","Stockwell Clamps, Assorted Sizes"
AB-10255,Alejandro Ballentine,US,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,Revere Boxed Rubber Bands by Revere,"Global Value Steno Chair, Gray",Xerox 1959,Staples
AB-105,Adrian Barton,Africa,"Tenex Lockers, Blue","StarTech Card Printer, Wireless","Green Bar Parchment Paper, 8.5 x 11","Eldon Shelving, Wire Frame","Memorex Keyboard, Bluetooth"
AB-105,Adrian Barton,Canada,"Harbour Creations Legal Exhibit Labels, 5000 Label Set","Avery Legal Exhibit Labels, 5000 Label Set","Binney & Smith Pencil Sharpener, Easy-Erase","Cardinal Binder Covers, Recycled","Sanford Canvas, Fluorescent"
AB-105,Adrian Barton,EMEA,"Breville Toaster, Black","Stanley Sketch Pad, Fluorescent","Stanley Pens, Blue","Smead Box, Single Width","SanDisk Keyboard, Programmable"
AB-10600,Ann Blume,APAC,"SAFCO Steel Folding Chair, Red","Tenex Box, Industrial","Eldon Lockers, Blue","Fiskars Scissors, Steel","Harbour Creations Chairmat, Red"
AB-10600,Ann Blume,EU,"Eldon File Cart, Single Width","Avery Index Tab, Clear","Canon Personal Copier, High-Speed","Motorola Audio Dock, VoIP","Wilson Jones Binder, Recycled"
AB-10600,Ann Blume,LATAM,"Accos Paper Clips, Metal","Deflect-O Light Bulb, Black","Stockwell Paper Clips, Bulk Pack","Stockwell Clamps, Assorted Sizes","Cardinal Binder, Recycled"
AB-10600,Ann Blume,US,Revere Boxed Rubber Bands by Revere,GBC Recycled VeloBinder Covers,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Kensington Orbit Wireless Mobile Trackball for PC and Mac,"Bevis Oval Conference Table, Walnut"
AB-15,Aaron Bergman,Africa,"Stanley Pencil Sharpener, Water Color","Boston Markers, Easy-Erase","StarTech Card Printer, Wireless","Ames Interoffice Envelope, with clear poly window","OIC Thumb Tacks, Metal"
AB-15,Aaron Bergman,EMEA,"Rogers Trays, Wire Frame","Acco Binder Covers, Clear","Stanley Sketch Pad, Easy-Erase","SanDisk Keyboard, Programmable","Motorola Smart Phone, Cordless"
AB-150,Aimee Bixby,EMEA,"Rogers Trays, Wire Frame","Acco Binder Covers, Clear","Stanley Sketch Pad, Easy-Erase","SanDisk Keyboard, Programmable","Motorola Smart Phone, Cordless"
AB-165,Alan Barnes,Africa,"Green Bar Memo Slips, Multicolor","Kleencut Box Cutter, Steel","Avery Color Coded Labels, Laser Printer Compatible","StarTech Card Printer, Red","SAFCO Swivel Stool, Set of Two"
AB-165,Alan Barnes,Canada,"Rogers Lockers, Industrial","Kleencut Trimmer, Serrated","Avery Legal Exhibit Labels, 5000 Label Set","Stockwell Push Pins, Metal","Cardinal Binder Covers, Recycled"
AB-165,Alan Barnes,EMEA,"Wilson Jones Binder, Clear","Rogers Trays, Wire Frame","Acco Binder Covers, Clear","Avery Hole Reinforcements, Recycled","Logitech Memory Card, USB"
AB-255,Alejandro Ballentine,Africa,"Stiletto Ruler, Easy Grip","Eaton Computer Printout Paper, 8.5 x 11","Novimex Legal Exhibit Labels, Laser Printer Compatible","Boston Markers, Easy-Erase","Hon Color Coded Labels, Laser Printer Compatible"
AB-255,Alejandro Ballentine,Canada,"Stockwell Staples, Metal","Belkin Mouse, Bluetooth","Safco Classic Bookcase, Pine","Harbour Creations Legal Exhibit Labels, 5000 Label Set","Avery Legal Exhibit Labels, 5000 Label Set"
AB-255,Alejandro Ballentine,EMEA,"Hon Legal Exhibit Labels, 5000 Label Set","Motorola Office Telephone, Cordless","Rogers Trays, Wire Frame","Acco Binder Covers, Clear","Stanley Sketch Pad, Easy-Erase"
AB-60,Adam Bellavance,Africa,"Eaton Computer Printout Paper, 8.5 x 11","Stiletto Ruler, Easy Grip","Ibico Binder, Recycled","Stanley Pencil Sharpener, Water Color","Nokia Speaker Phone, Cordless"
AB-60,Adam Bellavance,EMEA,"Office Star Chairmat, Adjustable","Motorola Office Telephone, Full Size","Rogers Trays, Wire Frame","Acco Binder Covers, Clear","Stanley Sketch Pad, Fluorescent"
AB-600,Ann Blume,Africa,"Eaton Computer Printout Paper, 8.5 x 11","Stiletto Ruler, Easy Grip","GlobeWeis Clasp Envelope, Recycled","Ibico Binding Machine, Recycled","Stanley Pencil Sharpener, Water Color"
AB-600,Ann Blume,EMEA,"Rogers Trays, Wire Frame","Acco Binder Covers, Clear","Stanley Sketch Pad, Easy-Erase","SanDisk Keyboard, Programmable","Motorola Smart Phone, Cordless"
AC-10420,Alyssa Crouse,APAC,"Harbour Creations Chairmat, Red","SAFCO Steel Folding Chair, Red","Tenex Box, Industrial","Kraft Business Envelopes, Set of 50","Ames Peel and Seal, Recycled"
AC-10420,Alyssa Crouse,EU,"Canon Personal Copier, High-Speed","Motorola Audio Dock, VoIP","Eldon File Cart, Single Width","Wilson Jones Binder, Clear","Binney & Smith Canvas, Easy-Erase"
AC-10420,Alyssa Crouse,LATAM,"Stockwell Paper Clips, Bulk Pack","Stockwell Clamps, Assorted Sizes","Deflect-O Light Bulb, Black","Cardinal Binder, Recycled","Fiskars Letter Opener, Easy Grip"
AC-10420,Alyssa Crouse,US,Staples,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),Avery 516,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Southworth 25% Cotton Antique Laid Paper & Envelopes
AC-10450,Amy Cox,APAC,"Eaton Parchment Paper, Premium","Safco Library with Doors, Pine","BIC Highlighters, Water Color","Advantus Photo Frame, Erganomic","SanDisk Mouse, Erganomic"
AC-10450,Amy Cox,EU,"Accos Staples, Metal","Tenex Folders, Wire Frame","Binney & Smith Canvas, Easy-Erase","Kleencut Shears, Easy Grip","Cardinal Binder Covers, Economy"
AC-10450,Amy Cox,LATAM,"SAFCO Rocking Chair, Black","Smead Trays, Industrial","OIC Rubber Bands, Assorted Sizes","Office Star Bag Chairs, Adjustable","Hon Round Labels, Adjustable"
AC-10450,Amy Cox,US,Longer-Life Soft White Bulbs,Stockwell Push Pins,"Avery Durable Plastic 1"" Binders","OIC Colored Binder Clips, Assorted Sizes",Xerox 209
AC-10615,Ann Chong,APAC,"Tenex Light Bulb, Durable","Green Bar Memo Slips, Premium","SAFCO Steel Folding Chair, Red","Belkin Mouse, Programmable","Ibico Binder Covers, Recycled"
AC-10615,Ann Chong,EU,"Sanford Pens, Easy-Erase","Okidata Inkjet, White","Avery 3-Hole Punch, Durable","Cardinal Binder, Clear","Avery Binding Machine, Clear"
AC-10615,Ann Chong,LATAM,"Fiskars Shears, Serrated","Ames Mailers, Recycled","Stockwell Paper Clips, Bulk Pack","Stockwell Clamps, Assorted Sizes","Accos Paper Clips, Metal"
AC-10615,Ann Chong,US,Revere Boxed Rubber Bands by Revere,GBC Recycled VeloBinder Covers,Xerox 1959,White Computer Printout Paper by Universal,"Bevis Oval Conference Table, Walnut"
AC-10660,Anna Chung,APAC,"Advantus Stacking Tray, Erganomic","Enermax Mouse, Bluetooth","Novimex Shipping Labels, 5000 Label Set","Kleencut Trimmer, Steel","Novimex Chairmat, Set of Two"
AC-10660,Anna Chung,EU,"Canon Personal Copier, High-Speed","Canon Fax and Copier, Digital","Motorola Audio Dock, VoIP","Ibico Hole Reinforcements, Durable","Binney & Smith Canvas, Easy-Erase"
AC-10660,Anna Chung,LATAM,"Accos Paper Clips, Metal","Deflect-O Light Bulb, Black","Stockwell Paper Clips, Bulk Pack","Stockwell Clamps, Assorted Sizes","Cardinal Binder, Recycled"
AC-10660,Anna Chung,US,Staples,Adjustable Depth Letter/Legal Cart,SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
AC-420,Alyssa Crouse,Africa,"Panasonic Receipt Printer, Wireless","Ibico Binder, Recycled","Stiletto Ruler, Easy Grip","Eaton Computer Printout Paper, 8.5 x 11","Harbour Creations Chairmat, Adjustable"
AC-420,Alyssa Crouse,EMEA,"Rogers Trays, Wire Frame","Acco Binder Covers, Clear","Stanley Sketch Pad, Easy-Erase","SanDisk Keyboard, Programmable","Belkin Keyboard, Erganomic"
AC-450,Amy Cox,Africa,"Sanford Canvas, Easy-Erase","Harbour Creations Executive Leather Armchair, Adjustable","Wilson Jones Binder, Economy","Stanley Highlighters, Water Color","Samsung Smart Phone, Full Size"
AC-450,Amy Cox,Canada,"Harbour Creations Bag Chairs, Red","Apple Speaker Phone, with Caller ID","Fellowes File Cart, Industrial","Binney & Smith Pencil Sharpener, Easy-Erase","Harbour Creations Legal Exhibit Labels, 5000 Label Set"
AC-450,Amy Cox,EMEA,"Logitech Keyboard, Programmable","Hewlett Personal Copier, Digital","SAFCO Rocking Chair, Adjustable","Eldon File Cart, Single Width","Stanley Sketch Pad, Fluorescent"
AC-615,Ann Chong,Africa,"Acme Scissors, Serrated","Avery File Folder Labels, 5000 Label Set","Sanford Sketch Pad, Fluorescent","Boston Markers, Easy-Erase","Tenex File Cart, Single Width"
AC-615,Ann Chong,EMEA,"Rogers Trays, Wire Frame","Acco Binder Covers, Clear","Ames Peel and Seal, Set of 50","Motorola Smart Phone, Cordless","Smead File Cart, Industrial"
AC-660,Anna Chung,Africa,"Eaton Computer Printout Paper, 8.5 x 11","Stiletto Ruler, Easy Grip","Ibico Binder, Recycled","Stanley Pencil Sharpener, Water Color","Nokia Speaker Phone, Cordless"
AC-660,Anna Chung,EMEA,"Rogers Trays, Wire Frame","Acco Binder Covers, Clear","Stanley Sketch Pad, Easy-Erase","SanDisk Keyboard, Programmable","Motorola Smart Phone, Cordless"
AD-10180,Alan Dominguez,APAC,"Office Star Swivel Stool, Adjustable","SAFCO Steel Folding Chair, Red","Tenex Box, Industrial","Kraft Business Envelopes, Set of 50","Elite Ruler, Serrated"
AD-10180,Alan Dominguez,EU,"Canon Personal Copier, High-Speed","Motorola Audio Dock, VoIP","Binney & Smith Canvas, Easy-Erase","Binney & Smith Sketch Pad, Blue","Enermax Mouse, Erganomic"
AD-10180,Alan Dominguez,LATAM,"Enermax Note Cards, Premium","Smead Shelving, Wire Frame","Office Star Rocking Chair, Adjustable","Stockwell Clamps, Assorted Sizes","Xerox Memo Slips, Premium"
AD-10180,Alan Dominguez,US,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,Revere Boxed Rubber Bands by Revere,"Global Value Steno Chair, Gray","Bevis Oval Conference Table, Walnut",Xerox 1959
AD-180,Alan Dominguez,Africa,"Apple Headset, with Caller ID","Wilson Jones Binding Machine, Economy","Tenex Lockers, Wire Frame","Safco Floating Shelf Set, Pine","Panasonic Calculator, White"
AD-180,Alan Dominguez,EMEA,"Acme Scissors, High Speed","Rogers Trays, Wire Frame","Acco Binder Covers, Clear","Stanley Sketch Pad, Easy-Erase","Fellowes Folders, Single Width"
AF-10870,Art Ferguson,APAC,"SAFCO Steel Folding Chair, Red","Enermax Mouse, Bluetooth","Kraft Business Envelopes, Set of 50","Wilson Jones Binder, Durable","Tenex Box, Industrial"
AF-10870,Art Ferguson,EU,"Ibico Hole Reinforcements, Durable","Canon Personal Copier, High-Speed","Motorola Audio Dock, VoIP","Avery Removable Labels, 5000 Label Set","Logitech Keyboard, Programmable"
AF-10870,Art Ferguson,LATAM,"Nokia Signal Booster, VoIP","OIC Paper Clips, Assorted Sizes","Accos Paper Clips, Metal","Fiskars Trimmer, Easy Grip","Stockwell Clamps, Assorted Sizes"
AF-10870,Art Ferguson,US,Fellowes PB200 Plastic Comb Binding Machine,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White",Xerox 1959,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",GBC Recycled VeloBinder Covers
AF-10885,Art Foster,APAC,"SAFCO Steel Folding Chair, Red","Eaton Message Books, Recycled","Enermax Mouse, Bluetooth","Novimex Chairmat, Set of Two","Wilson Jones Binder, Durable"
AF-10885,Art Foster,EU,"Stanley Pencil Sharpener, Fluorescent","Canon Personal Copier, High-Speed","Ibico Index Tab, Clear","Motorola Audio Dock, VoIP","Ibico Hole Reinforcements, Durable"
AF-10885,Art Foster,LATAM,"Ibico Hole Reinforcements, Recycled","Accos Paper Clips, Metal","Deflect-O Light Bulb, Black","Tenex Clock, Duo Pack","Stockwell Paper Clips, Bulk Pack"
AF-10885,Art Foster,US,Tops Wirebound Message Log Books,Mitel MiVoice 5330e IP Phone,Mophie Juice Pack Helium for iPhone,Newell 307,3M Hangers With Command Adhesive
AF-870,Art Ferguson,Africa,"Eaton Computer Printout Paper, 8.5 x 11","Stiletto Ruler, Easy Grip","Smead File Cart, Single Width","Boston Markers, Easy-Erase","Nokia Speaker Phone, Cordless"
AF-870,Art Ferguson,Canada,"Avery Legal Exhibit Labels, 5000 Label Set","Sanford Canvas, Fluorescent","Binney & Smith Pencil Sharpener, Easy-Erase","Cardinal Binder Covers, Recycled","Kleencut Trimmer, Serrated"
AF-870,Art Ferguson,EMEA,"Rogers Trays, Wire Frame","SAFCO Executive Leather Armchair, Adjustable","Smead Lockers, Industrial","Acco Binder Covers, Clear","Stanley Sketch Pad, Fluorescent"
AF-885,Art Foster,Africa,"Eaton Computer Printout Paper, 8.5 x 11","Stiletto Ruler, Easy Grip","Eldon File Cart, Industrial","Harbour Creations Legal Exhibit Labels, Laser Printer Compatible","StarTech Card Printer, Wireless"
AF-885,Art Foster,EMEA,"Acco Binder Covers, Clear","Rogers Trays, Wire Frame","Stiletto Trimmer, Steel","Stanley Sketch Pad, Fluorescent","Stanley Sketch Pad, Easy-Erase"
AG-10270,Alejandro Grove,APAC,"Fiskars Trimmer, Serrated","SAFCO Steel Folding Chair, Red","Tenex Box, Industrial","Eldon Lockers, Blue","SanDisk Mouse, Programmable"
AG-10270,Alejandro Grove,EU,"Canon Personal Copier, High-Speed","Ibico Hole Reinforcements, Durable","Elite Letter Opener, Steel","Harbour Creations Color Coded Labels, Laser Printer Compatible","Novimex Round Labels, Laser Printer Compatible"
AG-10270,Alejandro Grove,LATAM,"Ibico Hole Reinforcements, Recycled","Accos Paper Clips, Metal","Deflect-O Light Bulb, Black","Tenex Clock, Duo Pack","Stockwell Paper Clips, Bulk Pack"
AG-10270,Alejandro Grove,US,Revere Boxed Rubber Bands by Revere,WD My Passport Ultra 2TB Portable External Hard Drive,GBC Recycled VeloBinder Covers,Xerox 1959,"Bevis Oval Conference Table, Walnut"
AG-10300,Aleksandra Gannaway,APAC,"Smead Trays, Wire Frame","Avery 3-Hole Punch, Clear","SAFCO Steel Folding Chair, Red","Safco Floating Shelf Set, Metal","Tenex Box, Industrial"
AG-10300,Aleksandra Gannaway,EU,"Canon Personal Copier, High-Speed","Eldon File Cart, Single Width","Tenex Lockers, Industrial","Motorola Audio Dock, VoIP","Binney & Smith Canvas, Easy-Erase"
AG-10300,Aleksandra Gannaway,LATAM,"Elite Trimmer, Easy Grip","Hon Swivel Stool, Black","Hewlett Wireless Fax, Laser","Deflect-O Light Bulb, Black","SAFCO Steel Folding Chair, Red"
AG-10300,Aleksandra Gannaway,US,Staples,Kensington Orbit Wireless Mobile Trackball for PC and Mac,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),Xerox 1982,Case Logic 2.4GHz Wireless Keyboard
AG-10330,Alex Grayson,APAC,"SAFCO Steel Folding Chair, Red","Tenex Box, Industrial","Elite Ruler, Serrated","Eldon Lockers, Blue","Office Star Swivel Stool, Adjustable"
AG-10330,Alex Grayson,EU,"Canon Personal Copier, High-Speed","Cardinal Binder Covers, Economy","Eldon File Cart, Single Width","Ibico Hole Reinforcements, Durable","Motorola Audio Dock, VoIP"
AG-10330,Alex Grayson,LATAM,"Sauder Classic Bookcase, Traditional","Xerox Computer Printout Paper, 8.5 x 11","Stockwell Paper Clips, Bulk Pack","Deflect-O Light Bulb, Black","Rubbermaid Photo Frame, Erganomic"
AG-10330,Alex Grayson,US,Eldon Wave Desk Accessories,Ibico Presentation Index for Binding Systems,GBC Recycled VeloBinder Covers,Chromcraft Rectangular Conference Tables,Xerox 1959
AG-10390,Allen Goldenen,APAC,"Fiskars Trimmer, Serrated","Stockwell Paper Clips, Assorted Sizes","Nokia Smart Phone, with Caller ID","Advantus Clamps, Assorted Sizes","Cameo Interoffice Envelope, Set of 50"
AG-10390,Allen Goldenen,EU,"Canon Personal Copier, High-Speed","Rogers File Cart, Industrial","Motorola Audio Dock, VoIP","Binney & Smith Canvas, Easy-Erase","Eldon File Cart, Single Width"
AG-10390,Allen Goldenen,LATAM,"Smead Lockers, Industrial","Deflect-O Light Bulb, Black","Accos Paper Clips, Metal","Stockwell Paper Clips, Bulk Pack","Stockwell Clamps, Assorted Sizes"
AG-10390,Allen Goldenen,US,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,Revere Boxed Rubber Bands by Revere,"Global Value Steno Chair, Gray",Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),Staples
AG-10495,Andrew Gjertsen,APAC,"SAFCO Steel Folding Chair, Red","Eldon Lockers, Blue","Jiffy Business Envelopes, Recycled","Ibico Binder Covers, Recycled","SanDisk Mouse, Programmable"
